id_alumno,materia,nota
42109843,Análisis Matemático I,8
42109843,Álgebra I-B,7
42109843,Fundamentos de Química,9
42109843,Fundamentos de la Programación,8
41982736,Análisis Matemático I,6
41982736,Álgebra I-B,5
41982736,Física A,7
43092817,Análisis Matemático I,9
43092817,Álgebra I-B,8
43092817,Fundamentos de la Programación,10
43092817,Física A,9
40871625,Análisis Matemático I,4
40871625,Álgebra I-B,6
40871625,Fundamentos de Química,5
42551442,Análisis Matemático I,7
42551442,Álgebra I-B,8
42551442,Fundamentos de la Programación,9
42551442,Física A,6
43981029,Análisis Matemático I,10
43981029,Álgebra I-B,9
43981029,Fundamentos de Química,10
41448273,Análisis Matemático I,5
41448273,Álgebra I-B,6
41448273,Física A,5
42771829,Análisis Matemático I,2
42771829,Álgebra I-B,2
42771829,Fundamentos de la Programación,9
40192837,Análisis Matemático I,7
40192837,Álgebra I-B,7
40192837,Fundamentos de Química,6
40192837,Física A,8
43228190,Análisis Matemático I,9
43228190,Álgebra I-B,9
43228190,Fundamentos de la Programación,10
